athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,experience_years,receiving_long_reception,receiving_receiving_touchdowns,receiving_receiving_yards,receiving_receptions
4428050,Kamari,Morales,Kamari Morales,Kamari Morales,245,74,TE,4,55,0,158,11
4428057,Sean,Morris,Sean Morris,Sean Morris,250,76,TE,4,23,0,25,2
4428090,Bradley,Archer,Bradley Archer,Bradley Archer,245,75,TE,4,24,0,79,6
4428154,Nik,Ognenovic,Nik Ognenovic,Nik Ognenovic,255,77,TE,3,18,0,23,2
4428216,Alec,Pell,Alec Pell,Alec Pell,235,76,TE,3,17,1,61,10
4428216,Alec,Pell,Alec Pell,Alec Pell,235,76,TE,3,17,1,61,10
4428396,Hayden,Rucci,Hayden Rucci,Hayden Rucci,253,76,TE,4,45,0,112,10
4428451,Brett,Seither,Brett Seither,Brett Seither,233,77,TE,3,35,4,101,7
4428580,Tyler,Stephens,Tyler Stephens,Tyler Stephens,243,78,TE,4,20,0,49,5
4428643,Tristen,Tewes,Tristen Tewes,Tristen Tewes,251,75,TE,3,10,0,16,2
4428885,Keshon,Williams,Keshon Williams,Keshon Williams,255,75,TE,3,18,0,66,9
4428921,Jude,Wolfe,Jude Wolfe,Jude Wolfe,240,77,TE,4,3,1,5,2
4428940,Kyi,Wright,Kyi Wright,Kyi Wright,256,75,TE,3,11,0,35,4
4428940,Kyi,Wright,Kyi Wright,Kyi Wright,256,75,TE,3,11,0,35,4
4429115,Gee,Scott Jr.,Gee Scott Jr.,Gee Scott Jr.,240,75,TE,4,14,1,62,9
4429148,Theo,Johnson,Theo Johnson,Theo Johnson,264,78,TE,3,34,6,325,32
4429148,Theo,Johnson,Theo Johnson,Theo Johnson,264,78,TE,3,34,6,325,32
4429148,Theo,Johnson,Theo Johnson,Theo Johnson,264,78,TE,3,34,6,325,32
4429262,Jaheim,Bell,Jaheim Bell,Jaheim Bell,239,75,TE,3,49,2,503,39
4429466,Drake,Dabney,Drake Dabney,Drake Dabney,248,77,TE,4,63,5,552,33
4429470,Nicky,Dalmolin,Nicky Dalmolin,Nicky Dalmolin,241,76,TE,4,21,0,148,13
4429482,Brandon,Crum,Brandon Crum,Brandon Crum,250,76,TE,4,5,1,8,2
4429553,Quan,Easterling,Quan Easterling,Quan Easterling,230,75,TE,4,18,0,64,6
4429608,Corey,Dyches,Corey Dyches,Corey Dyches,215,74,TE,3,44,2,491,49
4429632,Konner,Fox,Konner Fox,Konner Fox,250,76,TE,3,41,1,117,10
4429632,Konner,Fox,Konner Fox,Konner Fox,250,76,TE,3,41,1,117,10
4429811,Patrick,Herbert,Patrick Herbert,Patrick Herbert,255,77,TE,3,49,3,184,14
4429914,Karter,Johnson,Karter Johnson,Karter Johnson,255,74,TE,4,50,2,175,12
4429927,Neal,Johnson,Neal Johnson,Neal Johnson,250,76,TE,4,40,5,356,29
4429949,Maliq,Carr,Maliq Carr,Maliq Carr,260,77,TE,3,36,3,352,30
4430022,Anthony,Landphere,Anthony Landphere,Anthony Landphere,235,76,TE,3,21,2,242,26
4430151,Javonte,Kinsey,Javonte Kinsey,Javonte Kinsey,230,77,TE,3,31,1,88,8
4430151,Javonte,Kinsey,Javonte Kinsey,Javonte Kinsey,230,77,TE,3,31,1,88,8
4430166,Josiah,Miamen,Josiah Miamen,Josiah Miamen,245,76,TE,3,38,0,156,14
4430183,Logan,Kyle,Logan Kyle,Logan Kyle,224,75,TE,4,28,0,103,11
4430190,Griffin,Moore,Griffin Moore,Griffin Moore,250,76,TE,3,46,1,161,12
4430190,Griffin,Moore,Griffin Moore,Griffin Moore,250,76,TE,3,46,1,161,12
4430338,Jeremiah,Pruitte,Jeremiah Pruitte,Jeremiah Pruitte,230,77,TE,4,69,1,191,12
4430358,Cal,Redman,Cal Redman,Cal Redman,260,77,TE,4,51,1,210,15
4430482,Joshua,Simon,Joshua Simon,Joshua Simon,238,76,TE,4,33,2,256,28
4430482,Joshua,Simon,Joshua Simon,Joshua Simon,238,76,TE,4,33,2,256,28
4430520,Elias,Spence,Elias Spence,Elias Spence,225,76,TE,3,10,1,17,2
4430569,Jonathan,Odom,Jonathan Odom,Jonathan Odom,250,77,TE,3,23,0,75,9
4430596,KeShawn,Toney,KeShawn Toney,KeShawn Toney,237,75,TE,4,26,5,244,20
4430596,KeShawn,Toney,KeShawn Toney,KeShawn Toney,237,75,TE,4,26,5,244,20
4430684,Treyton,Welch,Treyton Welch,Treyton Welch,241,75,TE,4,32,2,286,27
4430684,Treyton,Welch,Treyton Welch,Treyton Welch,241,75,TE,4,32,2,286,27
4430723,Jared,Wiley,Jared Wiley,Jared Wiley,260,79,TE,4,81,8,520,47
4430723,Jared,Wiley,Jared Wiley,Jared Wiley,260,79,TE,4,81,8,520,47
4430723,Jared,Wiley,Jared Wiley,Jared Wiley,260,79,TE,4,81,8,520,47
4430723,Jared,Wiley,Jared Wiley,Jared Wiley,260,79,TE,4,81,8,520,47
4431045,John,Copenhaver,John Copenhaver,John Copenhaver,240,75,TE,3,40,4,279,18
4431051,Izayah,Cummings,Izayah Cummings,Izayah Cummings,232,75,TE,4,55,0,98,4
4431081,Sage,Ennis,Sage Ennis,Sage Ennis,240,76,TE,3,28,0,52,3
4431134,Eli,Wilson,Eli Wilson,Eli Wilson,240,75,TE,3,32,5,334,32
4431196,Jake,Briningstool,Jake Briningstool,Jake Briningstool,230,78,TE,3,50,5,407,41
4431196,Jake,Briningstool,Jake Briningstool,Jake Briningstool,230,78,TE,3,50,5,407,41
