"","athlete_id","first_name","last_name","full_name","display_name","weight","height","position_abbreviation","experience_years","rushing_long_rushing","rushing_rushing_attempts","rushing_rushing_touchdowns","rushing_rushing_yards","receiving_receiving_touchdowns","receiving_receiving_yards","receiving_receptions"
"53","4366192","Kris","Jackson","Kris Jackson","Kris Jackson",220,70,"RB",4,25,110,7,493,1,71,14
"54","4366276","Juwon","Farri","Juwon Farri","Juwon Farri",205,68,"RB",4,19,8,1,65,0,4,1
"55","4366963","Dylan","Laube","Dylan Laube","Dylan Laube",207,70,"RB",4,75,158,9,715,7,699,68
"56","4367069","Ty Son","Lawton","Ty Son Lawton","Ty Son Lawton",205,69,"RB",4,28,126,5,568,1,174,19
"57","4367069","Ty Son","Lawton","Ty Son Lawton","Ty Son Lawton",205,69,"RB",4,28,126,5,568,1,174,19
"58","4367324","Milan","Howard","Milan Howard","Milan Howard",185,71,"RB",4,15,55,1,229,1,104,12
"59","4367633","Devon","Brewer","Devon Brewer","Devon Brewer",190,70,"RB",4,20,118,7,349,1,123,16
"60","4368024","Spencer","Alston","Spencer Alston","Spencer Alston",191,68,"RB",4,57,40,0,201,0,13,3
"61","4368024","Spencer","Alston","Spencer Alston","Spencer Alston",191,68,"RB",4,57,40,0,201,0,13,3
"62","4368345","Justin","Strong","Justin Strong","Justin Strong",205,72,"RB",4,80,82,5,359,2,149,22
"63","4368406","Dra","Rushton","Dra Rushton","Dra Rushton",192,70,"RB",4,33,163,9,664,1,154,20
"64","4368878","Geno","Hess","Geno Hess","Geno Hess",222,68,"RB",4,64,186,10,1007,0,220,28
"65","4368878","Geno","Hess","Geno Hess","Geno Hess",222,68,"RB",4,64,186,10,1007,0,220,28
"66","4368878","Geno","Hess","Geno Hess","Geno Hess",222,68,"RB",4,64,186,10,1007,0,220,28
"67","4370794","Perris","Jones","Perris Jones","Perris Jones",179,67,"RB",4,43,76,2,393,0,107,6
"68","4370981","Keilon","Elder","Keilon Elder","Keilon Elder",200,70,"RB",4,30,34,0,130,0,34,6
"69","4370981","Keilon","Elder","Keilon Elder","Keilon Elder",200,70,"RB",4,30,34,0,130,0,34,6
"70","4372073","Christian","Turner","Christian Turner","Christian Turner",205,71,"RB",4,17,52,2,227,0,0,4
"71","4372561","Isaac","Guerendo","Isaac Guerendo","Isaac Guerendo",225,73,"RB",4,73,109,8,649,0,192,17
"72","4372568","Nakia","Watson","Nakia Watson","Nakia Watson",217,72,"RB",4,17,89,4,321,3,230,24
"73","4372765","C'Bo","Flemister","C'Bo Flemister","C'Bo Flemister",205,71,"RB",4,38,98,2,367,1,106,8
"74","4373273","British","Brooks","British Brooks","British Brooks",225,71,"RB",4,29,71,2,318,0,73,14
"75","4373421","Ra'veion","Hargrove","Ra'veion Hargrove","Ra'veion Hargrove",180,66,"RB",4,49,49,2,220,0,54,9
"76","4373454","Dylan","McDuffie","Dylan McDuffie","Dylan McDuffie",220,72,"RB",4,36,41,4,227,0,0,0
"77","4373454","Dylan","McDuffie","Dylan McDuffie","Dylan McDuffie",220,72,"RB",4,36,41,4,227,0,0,0
"78","4373661","Andrew","Van Buren","Andrew Van Buren","Andrew Van Buren",240,72,"RB",4,70,56,3,244,0,28,6
"79","4373854","Jared","Wilson","Jared Wilson","Jared Wilson",230,71,"RB",4,34,119,2,403,0,2,10
"80","4374306","Markese","Stepp","Markese Stepp","Markese Stepp",225,73,"RB",4,56,69,3,310,0,73,7
"81","4376241","D'Angelo","Durham","D'Angelo Durham","D'Angelo Durham",200,73,"RB",3,31,105,5,497,0,76,5
"82","4379775","Jalen","Jackson","Jalen Jackson","Jalen Jackson",220,69,"RB",4,66,132,9,981,0,53,5
