athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,defensive_passes_defended,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_interceptions_interceptions
4361165,Braxton,Clark,Braxton Clark,Braxton Clark,204,76,CB,5,0,23,26,1
4361194,Isaiah,Stalbird,Isaiah Stalbird,Isaiah Stalbird,200,73,LB,3,1.5,42,69,1
4361261,A.J.,Hampton Jr.,A.J. Hampton Jr.,A.J. Hampton Jr.,175,72,DB,3,0,20,21,0
4361283,Malcolm,Magee,Malcolm Magee,Malcolm Magee,190,72,DB,1,0,11,12,2
4361285,Tywan,Francis,Tywan Francis,Tywan Francis,195,71,S,5,0,58,78,2
4361344,Josh,Proctor,Josh Proctor,Josh Proctor,205,74,S,8,0,29,41,1
4361352,Marcus,Hooker,Marcus Hooker,Marcus Hooker,200,71,DB,4,0,36,47,1
4361386,Deonta,Bembry,Deonta Bembry,Deonta Bembry,175,69,DB,9,0,21,30,1
4361431,Jaden,Dedman,Jaden Dedman,Jaden Dedman,175,70,DB,4,1,24,33,0
4361437,Emany,Johnson,Emany Johnson,Emany Johnson,216,74,DB,3,0,72,100,3
4361498,Cedarious,Barfield,Cedarious Barfield,Cedarious Barfield,195,71,S,3,0,30,54,4
4361555,Donte,Burton,Donte Burton,Donte Burton,185,72,DB,0,0,3,3,0
4361558,Reggie,Pearson,Reggie Pearson,Reggie Pearson,198,70,DB,0,1,17,27,1
4361586,Damion,Charity,Damion Charity,Damion Charity,185,74,DB,2,0,23,30,0
4361638,Tyler,Potts,Tyler Potts,Tyler Potts,182,70,DB,6,1,18,27,2
4361654,Malik,Dunlap,Malik Dunlap,Malik Dunlap,220,75,CB,6,0,24,28,3
4361654,Malik,Dunlap,Malik Dunlap,Malik Dunlap,220,75,CB,6,0,24,28,3
4361659,Isaac,Duffy,Isaac Duffy,Isaac Duffy,185,68,DB,6,0,40,55,1
4361708,Cameron,Murray,Cameron Murray,Cameron Murray,180,73,DB,1,0,18,32,2
4361710,Rome,Weber,Rome Weber,Rome Weber,190,71,DB,6,0,15,25,0
4361715,Joe,Norwood,Joe Norwood,Joe Norwood,190,71,DB,0,0,3,4,0
4361740,Jae'Veyon,Morton,Jae'Veyon Morton,Jae'Veyon Morton,180,69,DB,5,0,13,21,2
4361746,Tayvonn,Kyle,Tayvonn Kyle,Tayvonn Kyle,181,71,CB,5,0,25,53,0
4361763,Tory,Spears,Tory Spears,Tory Spears,210,75,S,0,0,16,19,1
4361827,Kanion,Williams,Kanion Williams,Kanion Williams,190,72,DB,2,0,23,37,1
4361968,Nasir,Peoples,Nasir Peoples,Nasir Peoples,200,72,S,1,0,15,23,0
4361986,Armani,Chatman,Armani Chatman,Armani Chatman,205,72,DB,4,0,15,17,2
4362132,Jalon,Ferrell,Jalon Ferrell,Jalon Ferrell,205,74,S,0,1,10,17,0
4362149,Keyshawn,Paul,Keyshawn Paul,Keyshawn Paul,195,72,DB,3,0,9,10,0
4362236,Keni-H,Lovely,Keni-H Lovely,Keni-H Lovely,176,70,CB,5,0,27,48,2
4362247,DaShon,Bussell,DaShon Bussell,DaShon Bussell,185,73,CB,1,1,15,25,0
4362276,Nate,Bauer,Nate Bauer,Nate Bauer,202,72,S,2,0,34,54,1
