athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,kicking_extra_point_attempts,kicking_extra_points_made,kicking_field_goal_attempts,kicking_field_goals_made,kicking_long_field_goal_made,kicking_field_goal_attempts40_49,kicking_field_goal_attempts50_59,kicking_field_goal_attempts60_99,kicking_field_goals_made40_49,kicking_field_goals_made50_59,kicking_field_goals_made60_99
4568263,Ryan,Fitzgerald,Ryan Fitzgerald,Ryan Fitzgerald,198,73,PK,58,58,20,18,48,6,0,0,5,0,0
4568263,Ryan,Fitzgerald,Ryan Fitzgerald,Ryan Fitzgerald,198,73,PK,58,58,20,18,48,6,0,0,5,0,0
4568415,Michael,Hayes,Michael Hayes,Michael Hayes,187,69,PK,43,43,17,14,49,6,2,0,5,0,0
4568432,Alex,Raynor,Alex Raynor,Alex Raynor,190,71,PK,44,43,11,10,50,4,2,0,4,1,0
4568432,Alex,Raynor,Alex Raynor,Alex Raynor,190,71,PK,44,43,11,10,50,4,2,0,4,1,0
4568671,Jonathan,Kim,Jonathan Kim,Jonathan Kim,225,72,PK,17,17,18,13,58,5,7,0,3,4,0
4569088,Brandon,Talton,Brandon Talton,Brandon Talton,185,69,PK,19,19,20,15,52,8,3,0,5,1,0
4569179,Jacob,Barnes,Jacob Barnes,Jacob Barnes,183,69,PK,31,29,15,12,46,5,0,0,3,0,0
4569179,Jacob,Barnes,Jacob Barnes,Jacob Barnes,183,69,PK,31,29,15,12,46,5,0,0,3,0,0
4569231,Luke,Pawlak,Luke Pawlak,Luke Pawlak,175,70,PK,50,49,13,10,44,2,0,0,1,0,0
4569231,Luke,Pawlak,Luke Pawlak,Luke Pawlak,175,70,PK,50,49,13,10,44,2,0,0,1,0,0
4569231,Luke,Pawlak,Luke Pawlak,Luke Pawlak,175,70,PK,50,49,13,10,44,2,0,0,1,0,0
4569231,Luke,Pawlak,Luke Pawlak,Luke Pawlak,175,70,PK,50,49,13,10,44,2,0,0,1,0,0
4569231,Luke,Pawlak,Luke Pawlak,Luke Pawlak,175,70,PK,50,49,13,10,44,2,0,0,1,0,0
4569635,Dean,Janikowski,Dean Janikowski,Dean Janikowski,222,73,PK,44,44,15,10,55,5,4,0,2,2,0
4569923,Andres,Borregales,Andres Borregales,Andres Borregales,170,71,PK,42,41,25,21,51,5,6,0,4,4,0
4570113,Matt,Quinn,Matt Quinn,Matt Quinn,185,70,PK,39,38,18,11,48,3,0,0,2,0,0
4570113,Matt,Quinn,Matt Quinn,Matt Quinn,185,70,PK,39,38,18,11,48,3,0,0,2,0,0
4570113,Matt,Quinn,Matt Quinn,Matt Quinn,185,70,PK,39,38,18,11,48,3,0,0,2,0,0
