athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_passes_defended
4362171,Xavier,Benson,Xavier Benson,Xavier Benson,224,74,LB,1,1.5,34,60,1
4362237,Ryan,Selig,Ryan Selig,Ryan Selig,240,75,LB,0,0,15,31,1
4362272,Daniel,Bolden,Daniel Bolden,Daniel Bolden,248,73,LB,1,0.5,36,85,2
4362298,Terrance,Taylor,Terrance Taylor,Terrance Taylor,228,75,LB,1,3.5,15,35,0
4362315,Bryce,Houston,Bryce Houston,Bryce Houston,246,72,LB,1,2.5,55,120,1
4362317,Keye,Thompson,Keye Thompson,Keye Thompson,239,73,LB,1,1.5,42,94,2
4362398,Eriq,Gilyard,Eriq Gilyard,Eriq Gilyard,229,70,LB,0,0,3,4,0
4362760,Chad,Bailey,Chad Bailey,Chad Bailey,234,72,LB,1,1,7,17,1
4362798,Elijah,McAllister,Elijah McAllister,Elijah McAllister,271,78,LB,0,2,9,27,1
4362889,Matt,Harmon,Matt Harmon,Matt Harmon,254,77,LB,0,1,2,6,0
4362895,Nathaniel,Watson,Nathaniel Watson,Nathaniel Watson,245,74,LB,2,10,35,137,2
4362897,Aaron,Brule,Aaron Brule,Aaron Brule,240,74,LB,0,5,35,64,2
4362902,Jett,Johnson,Jett Johnson,Jett Johnson,230,74,LB,2,6,45,130,1
4362965,Hayes,Maples,Hayes Maples,Hayes Maples,228,74,LB,0,0.5,19,54,0
4363041,Xavier,Peters,Xavier Peters,Xavier Peters,255,76,LB,1,1,3,6,0
4363081,Bryson,Washington,Bryson Washington,Bryson Washington,238,72,LB,1,0,9,16,2
4363418,Jalen,Rayam,Jalen Rayam,Jalen Rayam,219,73,LB,0,0,0,2,0
4363439,Michael,Fairbanks II,Michael Fairbanks II,Michael Fairbanks II,265,75,LB,3,3.5,14,23,0
4363532,Elijah,Williams,Elijah Williams,Elijah Williams,208,72,LB,0,1,14,25,0
4364639,Levi,Janacaro,Levi Janacaro,Levi Janacaro,235,72,LB,0,2,19,48,0
4365303,Myles,Cole,Myles Cole,Myles Cole,280,78,LB,0,3.5,21,32,1
4365390,Monchovia,Gaffney,Monchovia Gaffney,Monchovia Gaffney,230,74,LB,2,1.5,32,64,0
4365391,Justice,Galloway-Velazquez,Justice Galloway-Velazquez,Justice Galloway-Velazquez,265,73,LB,0,0,1,6,0
4365391,Justice,Galloway-Velazquez,Justice Galloway-Velazquez,Justice Galloway-Velazquez,265,73,LB,0,0,1,6,0
4365481,Tyren,Dupree,Tyren Dupree,Tyren Dupree,215,74,LB,0,2.5,61,115,3
4365626,Nolan,Askelson,Nolan Askelson,Nolan Askelson,231,73,LB,0,2,53,84,1
4365822,Jeremy,Harris,Jeremy Harris,Jeremy Harris,220,72,LB,0,1.5,21,37,1
4365840,Armon,Bailey,Armon Bailey,Armon Bailey,228,73,LB,0,2.5,49,96,1
4365882,Logan,Taylor,Logan Taylor,Logan Taylor,215,72,LB,0,0,18,21,0
4365887,Aubrey,Nellems,Aubrey Nellems,Aubrey Nellems,225,73,LB,0,2.5,40,79,1
4365931,Nick,Eaton,Nick Eaton,Nick Eaton,237,74,LB,1,3.5,15,29,1
4366084,Quae,Drake,Quae Drake,Quae Drake,225,73,LB,0,1,45,86,2
4366349,Joe,Andreessen,Joe Andreessen,Joe Andreessen,232,73,LB,1,1,53,89,2
4366554,Devonte,Webster,Devonte Webster,Devonte Webster,204,74,LB,0,0,5,7,0
4366712,Joe,Casale,Joe Casale,Joe Casale,230,74,LB,0,0,30,53,2
4366757,Noah,Plack,Noah Plack,Noah Plack,230,72,LB,0,0.5,34,49,0
4367516,Cam,Dillon,Cam Dillon,Cam Dillon,234,74,LB,0,0,12,35,2
4367563,DeAndre,Byrd,DeAndre Byrd,DeAndre Byrd,210,73,LB,0,1,32,76,2
4367697,Joe,Heffernan,Joe Heffernan,Joe Heffernan,227,74,LB,0,0,2,2,0
4367771,Kevin,Jarrell,Kevin Jarrell,Kevin Jarrell,250,73,LB,2,1,58,84,2
4367772,Isaiah,Jones,Isaiah Jones,Isaiah Jones,245,73,LB,0,1.5,32,60,1
4367825,Danny,Abraham,Danny Abraham,Danny Abraham,225,71,LB,1,3,36,65,1
4367831,Jake,Brown,Jake Brown,Jake Brown,230,73,LB,1,2.5,32,66,0
4367852,Bradley,Magee,Bradley Magee,Bradley Magee,210,75,LB,0,1,6,7,0
4367852,Bradley,Magee,Bradley Magee,Bradley Magee,210,75,LB,0,1,6,7,0
4367852,Bradley,Magee,Bradley Magee,Bradley Magee,210,75,LB,0,1,6,7,0
4368023,Brian,Abraham,Brian Abraham,Brian Abraham,212,NA,LB,1,1,14,28,0
4368099,Kenton,Wilhoit,Kenton Wilhoit,Kenton Wilhoit,240,75,LB,0,1,14,26,0
4368224,Mike,Arrington,Mike Arrington,Mike Arrington,213,72,LB,0,0,7,23,0
4368237,Jayden,Johnson,Jayden Johnson,Jayden Johnson,235,72,LB,0,0.5,27,72,3
4369459,Braden,Gilby,Braden Gilby,Braden Gilby,237,74,LB,0,3,43,92,4
4369992,Billy,Shaeffer,Billy Shaeffer,Billy Shaeffer,232,75,LB,2,8,44,66,3
4370071,Ja'Terious,Evans,Ja'Terious Evans,Ja'Terious Evans,215,73,LB,0,0,28,62,1
4370135,Xavier,Billingsley,Xavier Billingsley,Xavier Billingsley,205,74,LB,1,1,12,55,0
4370177,Rett,Russell,Rett Russell,Rett Russell,205,75,LB,0,0,20,26,2
4370868,Ted,Mullin,Ted Mullin,Ted Mullin,220,73,LB,0,0,26,40,0
4371038,Arlen,Williams,Arlen Williams,Arlen Williams,210,73,DL,1,6,20,40,5
4371082,Foday,Jalloh,Foday Jalloh,Foday Jalloh,220,74,LB,1,2.5,18,59,0
4371092,Noah,Washington,Noah Washington,Noah Washington,255,77,LB,0,1,13,27,2
4371092,Noah,Washington,Noah Washington,Noah Washington,255,77,LB,0,1,13,27,2
4371489,Brayden,Adams,Brayden Adams,Brayden Adams,218,74,LB,0,1,21,36,2
4371875,Bryce,Shaw,Bryce Shaw,Bryce Shaw,240,73,LB,0,0,12,23,0
4371947,James,Miller,James Miller,James Miller,228,73,LB,0,0,26,67,0
