athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_sack_yards
5084221,Sedric,Applewhite,Sedric Applewhite,Sedric Applewhite,200,78,DL,0,0,6,13,0
5084222,Masey,Lewis,Masey Lewis,Masey Lewis,250,76,DE,0,0,9,25,0
5084254,Alex,Villavaso,Alex Villavaso,Alex Villavaso,220,72,DL,0,0,1,4,0
5084269,Dane,Whalen,Dane Whalen,Dane Whalen,280,70,DL,0,0.5,2,20,2
5084270,JaQuan,Fank,JaQuan Fank,JaQuan Fank,220,74,DL,0,0.5,3,4,3
5084298,A.J.,Fuimaono,A.J. Fuimaono,A.J. Fuimaono,310,76,DL,0,0,0,2,0
5084320,Marc,Flemming,Marc Flemming,Marc Flemming,251,75,DE,1,0.5,6,14,2
5084327,Isaiah,Ward,Isaiah Ward,Isaiah Ward,230,74,DE,0,3,9,22,18
5084343,Anas,Luqman,Anas Luqman,Anas Luqman,230,76,DL,0,1.5,1,2,12
5084433,Tahj,Brown,Tahj Brown,Tahj Brown,230,75,DT,1,5,17,34,29
5084452,Ckelby,Givens,Ckelby Givens,Ckelby Givens,230,74,DT,4,5.5,28,50,12
5084503,Shemar,Pearl,Shemar Pearl,Shemar Pearl,255,78,DL,0,0,9,23,0
5084505,Rowan,Briggs,Rowan Briggs,Rowan Briggs,255,75,DL,0,0.5,5,12,7
5084514,Kaleb,Proctor,Kaleb Proctor,Kaleb Proctor,280,75,DL,1,1.5,4,26,18
5084547,Max,Dulansky,Max Dulansky,Max Dulansky,270,74,DL,0,0,0,3,0
5084564,Jaylen,George,Jaylen George,Jaylen George,245,74,DL,1,2.5,10,21,28
5084765,Alani,Ma'afu,Alani Ma'afu,Alani Ma'afu,274,74,DL,0,0.5,2,9,3
5084835,Tevita,Fotu,Tevita Fotu,Tevita Fotu,300,77,DT,0,0,2,5,0
5084849,Kevin,Jobity Jr.,Kevin Jobity Jr.,Kevin Jobity Jr.,263,76,DL,1,1.5,11,25,11
5084952,Ben,Nelson,Ben Nelson,Ben Nelson,305,79,DL,0,0,0,3,0
