Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
Steven Nelson,CB,Texans,,UFA,89.80%,31,"$5,500,000 ","$2,000,000 "
Tyus Bowser,EDGE,Ravens,,SFA,0.00%,29,"$5,500,000 ","$12,000,000 "
Tyrod Taylor,QB,Giants,,UFA,33.80%,35,"$5,500,000 ","$8,200,000 "
Bobby Wagner,LB,Seahawks,,UFA,98.40%,34,"$5,500,000 ","$4,480,000 "
Josey Jewell,LB,Broncos,,UFA,70.40%,30,"$5,500,000 ","$6,000,000 "
Nick Gates,C,Commanders,,SFA,57.20%,29,"$5,500,000 ","$8,000,000 "
DeVante Parker,WR,Patriots,,SFA,55.30%,31,"$5,400,000 ","$9,100,000 "
Cordarrelle Patterson,WR,Falcons,,UFA,15.70%,33,"$5,250,000 ","$5,000,000 "
Mason Cole,C,Steelers,,SFA,100.00%,28,"$5,250,000 ","$4,565,000 "
Isaiah Simmons,LB,Giants,,UFA,33.40%,26,"$5,166,014 ","$20,664,054 "
C.J. Henderson,CB,Panthers,,UFA,38.60%,26,"$5,129,047 ","$20,516,188 "
Chuck Clark,S,Jets,,UFA,0.00%,29,"$5,100,000 ","$10,000,000 "
Jayron Kearse,S,Cowboys,,UFA,76.60%,30,"$5,000,000 ","$5,000,000 "
Brandon Graham,EDGE,Eagles,,Void,34.00%,36,"$5,000,000 ","$5,000,000 "
Marcus Mariota,QB,Eagles,,UFA,3.80%,31,"$5,000,000 ","$5,000,000 "
Cedrick Wilson Jr.,WR,Dolphins,,UFA,49.60%,29,"$5,000,000 ","$5,000,000 "
Riley Reiff,RT,Patriots,,UFA,4.30%,36,"$5,000,000 ","$4,150,000 "
Jerry Hughes,EDGE,Texans,,UFA,37.90%,36,"$5,000,000 ","$5,500,000 "
Brian Allen,C,Rams,,SFA,3.00%,29,"$5,000,000 ","$3,000,000 "
D.J. Chark,WR,Panthers,,UFA,67.10%,28,"$5,000,000 ","$5,000,000 "
Deonte Harty,WR,Bills,,SFA,13.30%,27,"$4,750,000 ","$4,750,000 "
Jamal Agnew,WR,Jaguars,,UFA,0.00%,29,"$4,750,000 ","$4,000,000 "
Parris Campbell,WR,Giants,,UFA,18.80%,27,"$4,700,000 ","$2,900,000 "
Mekhi Becton,RT,Jets,,UFA,89.60%,25,"$4,611,512 ","$18,446,046 "
Lavonte David,LB,Buccaneers,,UFA,85.00%,34,"$4,500,000 ","$4,500,000 "
Nyheim Hines,RB,Bills,,SFA,0.00%,28,"$4,500,000 ","$2,000,000 "
Jourdan Lewis,CB,Cowboys,,UFA,68.40%,29,"$4,500,000 ","$4,750,000 "
Yosuah Nijman,LT,Packers,,UFA,21.10%,28,"$4,304,000 ",$0 
Teair Tart,IDL,Texans,,UFA,28.00%,27,"$4,304,000 ",$0 
Aaron Brewer,C,Titans,,UFA,100.00%,27,"$4,304,000 ",$0 
Adrian Phillips,S,Patriots,,SFA,12.10%,32,"$4,250,000 ","$5,870,000 "
Dean Lowry,IDL,Vikings,,SFA,21.00%,30,"$4,250,000 ","$4,200,000 "
Keisean Nixon,CB,Packers,,UFA,72.80%,27,"$4,000,000 ","$1,850,000 "
Nick Scott,S,Bengals,,SFA,52.10%,29,"$4,000,000 ","$3,000,000 "
Rock Ya-Sin,CB,Ravens,,UFA,24.10%,28,"$4,000,000 ","$4,000,000 "
Drew Lock,QB,Seahawks,,UFA,13.80%,28,"$4,000,000 ","$1,750,000 "
Levi Wallace,CB,Steelers,,UFA,64.30%,29,"$4,000,000 ","$2,965,000 "
Phil Haynes,LG,Seahawks,,UFA,42.00%,29,"$4,000,000 ","$3,490,000 "
