Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
Henry Anderson,IDL,Panthers,,UFA,0.00%,33,"$1,317,500 ","$152,500 "
Carson Wentz,QB,Rams,,UFA,6.10%,32,"$1,315,000 ","$150,000 "
Chris Hubbard,RT,Titans,,UFA,45.00%,33,"$1,315,000 ","$75,000 "
Matt Nelson,LT,Lions,,UFA,7.20%,29,"$1,300,000 ","$150,000 "
James Pierre,CB,Steelers,,UFA,2.30%,28,"$1,300,000 ",$0 
Kentavius Street,EDGE,Falcons,,UFA,23.30%,28,"$1,280,000 ","$500,000 "
Max Scharping,RG,Bengals,,UFA,1.20%,28,"$1,280,000 ","$175,000 "
Troy Hill,CB,Panthers,,UFA,46.80%,33,"$1,265,000 ","$50,000 "
Chris Reed,LG,Vikings,,UFA,0.20%,32,"$1,265,000 ",$0 
Tyler Kroft,TE,Dolphins,,UFA,3.90%,32,"$1,265,000 ","$100,000 "
Nick Westbrook-Ikhine,WR,Titans,,UFA,58.20%,27,"$1,260,000 ","$400,000 "
Equanimeous St. Brown,WR,Bears,,UFA,18.70%,28,"$1,250,000 ","$170,000 "
Trevis Gipson,EDGE,Titans,,UFA,6.60%,27,"$1,250,000 ","$250,000 "
Justin Bethel,CB,Dolphins,,UFA,11.20%,34,"$1,242,500 ",$0 
Jacob Martin,EDGE,Colts,,UFA,15.80%,29,"$1,233,000 ",$0 
Drew Sample,TE,Bengals,,UFA,45.70%,28,"$1,232,500 ","$52,500 "
Josh Woods,LB,Cardinals,,UFA,51.40%,28,"$1,232,500 ","$777,500 "
Elijah Wilkinson,LG,Cardinals,,UFA,44.20%,29,"$1,232,500 ","$1,092,500 "
Trayveon Williams,RB,Bengals,,UFA,14.30%,27,"$1,232,500 ","$52,500 "
Scott Miller,WR,Falcons,,UFA,23.50%,27,"$1,232,500 ","$152,500 "
Rashad Fenton,CB,Cardinals,,UFA,0.00%,27,"$1,232,500 ","$76,250 "
Kyle Allen,QB,Bills,,UFA,3.30%,28,"$1,232,500 ","$350,000 "
Matthew Adams,LB,Browns,,UFA,9.10%,29,"$1,232,500 ","$300,000 "
Chandon Sullivan,CB,Steelers,,UFA,37.40%,28,"$1,232,500 ","$152,500 "
D'Ernest Johnson,RB,Jaguars,,UFA,16.60%,28,"$1,232,500 ","$250,000 "
Tre Flowers,CB,Falcons,,UFA,17.50%,29,"$1,232,500 ","$500,000 "
Jalen Guyton,WR,Chargers,,UFA,22.00%,27,"$1,232,500 ","$76,000 "
Isaac Yiadom,CB,Saints,,UFA,46.50%,28,"$1,232,500 ",$0 
Jordan Kunaszyk,LB,Browns,,UFA,5.30%,28,"$1,232,500 ","$500,000 "
Olamide Zaccheaus,WR,Eagles,,UFA,41.10%,27,"$1,232,500 ","$650,000 "
Ryan Neal,S,Buccaneers,,UFA,51.60%,29,"$1,232,500 ","$1,092,500 "
Will Clapp,C,Chargers,,UFA,61.00%,29,"$1,232,500 ","$100,000 "
Richie James,WR,Chiefs,,UFA,12.10%,29,"$1,232,500 ","$552,500 "
Chase Edmonds,RB,Buccaneers,,UFA,14.10%,28,"$1,232,500 ","$152,500 "
Derrick Nnadi,IDL,Chiefs,,UFA,45.80%,28,"$1,232,500 ","$1,092,500 "
Eric Wilson,LB,Packers,,UFA,10.90%,30,"$1,232,500 ","$152,500 "
Trevon Wesco,TE,Titans,,UFA,40.40%,29,"$1,232,500 ","$352,500 "
Nicholas Williams,IDL,Chargers,,UFA,34.70%,34,"$1,230,000 ","$25,000 "
Ashtyn Davis,S,Jets,,UFA,19.10%,28,"$1,229,347 ","$1,136,280 "
MyCole Pruitt,TE,Falcons,,UFA,35.70%,32,"$1,215,000 ",$0 
Josh Jones,LT,Texans,,UFA,20.00%,27,"$1,209,834 ","$1,079,516 "
KhaDarel Hodge,WR,Falcons,,UFA,32.70%,29,"$1,200,000 ",$0 
Zack Baun,LB,Saints,,UFA,27.20%,28,"$1,196,780 ","$1,059,048 "
Jarrad Davis,LB,Giants,,UFA,0.00%,30,"$1,180,000 ",$0 
Zach Triner,LS,Buccaneers,,UFA,33.30%,33,"$1,172,500 ","$825,000 "
Matt Hennessy,C,Falcons,,UFA,0.00%,27,"$1,171,594 ","$1,009,580 "
Thomas Morstead,P,Jets,,UFA,32.40%,38,"$1,165,000 ","$940,000 "
Matt Barkley,QB,Jaguars,,UFA,0.50%,34,"$1,165,000 ",$0 
Logan Ryan,S,49ers,,UFA,11.40%,33,"$1,165,000 ",$0 
Carson Tinker,LS,Rams,,UFA,6.50%,35,"$1,165,000 ",$0 
Angelo Blackson,IDL,Jaguars,,UFA,19.30%,32,"$1,165,000 ",$0 
Josh Johnson,QB,Ravens,,UFA,0.00%,38,"$1,165,000 ",$0 
James Ferentz,RG,Patriots,,UFA,0.40%,35,"$1,165,000 ",$0 
Anthony Barr,LB,Vikings,,UFA,4.30%,32,"$1,165,000 ",$0 
Bradley Roby,CB,Eagles,,UFA,29.60%,32,"$1,165,000 ",$0 
Chris Conley,WR,49ers,,UFA,10.30%,32,"$1,165,000 ",$0 
Gabe Jackson,RG,Panthers,,UFA,16.90%,33,"$1,165,000 ",$0 
C.J. Goodwin,CB,Cowboys,,UFA,1.50%,34,"$1,165,000 ",$0 
Tyson Alualu,IDL,Lions,,UFA,6.10%,37,"$1,165,000 ",$0 
A.J. McCarron,QB,Bengals,,SFA,1.60%,34,"$1,165,000 ",$0 
Cameron Erving,RT,Saints,,UFA,18.00%,32,"$1,165,000 ",$0 
Jake McQuaide,LS,Lions,,UFA,14.30%,37,"$1,165,000 ",$0 
Jonotthan Harrison,C,Dolphins,,UFA,0.80%,33,"$1,165,000 ",$0 
Melvin Gordon,RB,Ravens,,SFA,5.00%,31,"$1,165,000 ",$0 
Randy Bullock,K,Giants,,UFA,7.90%,35,"$1,165,000 ",$0 
Tyler Larsen,C,Commanders,,UFA,41.60%,33,"$1,165,000 ",$0 
Bruce Irvin,EDGE,Dolphins,,UFA,3.80%,37,"$1,165,000 ",$0 
Trevor Siemian,QB,Jets,,UFA,26.10%,33,"$1,165,000 ",$0 
Max Garcia,LG,Saints,,UFA,27.60%,33,"$1,165,000 ",$0 
Melvin Ingram,EDGE,Dolphins,,UFA,8.60%,35,"$1,165,000 ",$0 
Jason Peters,RT,Seahawks,,UFA,20.60%,42,"$1,165,000 ",$0 
Duron Harmon,S,Browns,,UFA,20.40%,33,"$1,165,000 ",$0 
Dwayne Washington,RB,Broncos,,UFA,0.10%,30,"$1,165,000 ",$0 
Robbie Chosen,WR,Dolphins,,UFA,12.30%,31,"$1,165,000 ",$0 
Nick Vigil,LB,Vikings,,UFA,0.00%,31,"$1,165,000 ",$0 
Daryl Worley,S,Ravens,,UFA,10.70%,29,"$1,165,000 ",$0 
Deion Jones,LB,Panthers,,UFA,29.70%,30,"$1,165,000 ",$0 
Justin Houston,EDGE,Dolphins,,UFA,15.90%,35,"$1,165,000 ",$0 
Blake Martinez,LB,Steelers,,UFA,1.90%,30,"$1,165,000 ",$0 
Laquon Treadwell,WR,Ravens,,SFA,5.80%,29,"$1,165,000 ",$0 
DeAndre Houston-Carson,S,Texans,,UFA,42.50%,31,"$1,165,000 ",$0 
Adrian Amos,S,Texans,,UFA,31.80%,31,"$1,165,000 ",$0 
Joe Bachie,LB,Bengals,,UFA,0.90%,26,"$1,160,000 ","$75,000 "
Pat Elflein,LG,Cardinals,,UFA,0.00%,30,"$1,150,000 ","$25,000 "
Lloyd Cushenberry,C,Broncos,,UFA,99.70%,27,"$1,144,210 ","$946,176 "
Jeff Driskel,QB,Browns,,UFA,4.30%,31,"$1,140,000 ","$60,000 "
Julian Blackmon,S,Colts,,UFA,84.20%,26,"$1,134,960 ","$926,436 "
Dylan Cole,LB,Bears,,UFA,0.30%,30,"$1,132,500 ","$52,500 "
Nicholas Morrow,LB,Eagles,,UFA,71.80%,29,"$1,130,000 ","$50,000 "
Austin Schlottmann,C,Vikings,,UFA,22.10%,29,"$1,130,000 ",$0 
Anfernee Jennings,EDGE,Patriots,,UFA,59.50%,27,"$1,125,982 ","$903,180 "
Jesper Horsted,TE,Raiders,,UFA,0.80%,27,"$1,120,000 ","$30,000 "
Josiah Deguara,TE,Packers,,UFA,17.90%,27,"$1,104,921 ","$867,468 "
Fabian Moreau,CB,Broncos,,UFA,65.80%,30,"$1,100,000 ",$0 
Rick Lovato,LS,Eagles,,UFA,29.90%,32,"$1,096,667 ",$0 
Jacob Phillips,LB,Browns,,UFA,0.00%,25,"$1,086,078 ","$832,292 "
Malik Harrison,EDGE,Ravens,,UFA,17.00%,26,"$1,084,234 ","$832,292 "
Matt Peart,RT,Giants,,UFA,12.00%,27,"$1,082,390 ","$832,292 "
Brett Maher,K,Rams,,UFA,8.60%,35,"$1,080,000 ",$0 
Desmond King,CB,Texans,,UFA,27.40%,30,"$1,080,000 ",$0 
Alex Armah,FB,Commanders,,UFA,4.20%,30,"$1,080,000 ",$0 
Hroniss Grasu,RG,Raiders,,UFA,1.40%,33,"$1,080,000 ",$0 
Da'Shawn Hand,EDGE,Dolphins,,UFA,17.90%,29,"$1,080,000 ",$0 
Trent Taylor,WR,Bears,,UFA,10.80%,30,"$1,080,000 ",$0 
Eric Saubert,TE,Texans,,UFA,9.30%,30,"$1,080,000 ",$0 
Isaiah McKenzie,WR,Colts,,UFA,10.20%,29,"$1,080,000 ","$250,000 "
Nathan Peterman,QB,Bears,,UFA,0.40%,30,"$1,080,000 ",$0 
Maurice Hurst,IDL,Browns,,UFA,28.60%,29,"$1,080,000 ",$0 
Marlon Mack,RB,Cardinals,,UFA,0.00%,28,"$1,080,000 ",$0 
Genard Avery,LB,Colts,,UFA,0.00%,29,"$1,080,000 ",$0 
Ronnie Harrison,S,Colts,,UFA,20.00%,27,"$1,080,000 ",$0 
Sean Harlow,RG,Giants,,UFA,1.40%,29,"$1,080,000 ",$0 
David Sharpe,RT,Panthers,,UFA,0.10%,29,"$1,080,000 ",$0 
Jaleel Johnson,IDL,Titans,,UFA,23.50%,30,"$1,080,000 ",$0 
John Johnson,S,Rams,,UFA,45.70%,29,"$1,080,000 ",$0 
Matt Pryor,LT,49ers,,UFA,3.90%,30,"$1,080,000 ",$0 
Chris Wormley,IDL,Panthers,,UFA,4.40%,31,"$1,080,000 ",$0 
Corey Ballentine,CB,Packers,,UFA,43.90%,28,"$1,080,000 ",$0 
Jalyn Holmes,IDL,Jets,,UFA,7.10%,28,"$1,080,000 ",$0 
Ifeadi Odenigbo,EDGE,Jets,,UFA,0.00%,30,"$1,080,000 ",$0 
Corey Levin,C,Titans,,UFA,1.00%,30,"$1,080,000 ",$0 
Joseph Jones,LB,Titans,,UFA,0.00%,30,"$1,080,000 ",$0 
Will Grier,QB,Chargers,,UFA,0.00%,29,"$1,080,000 ",$0 
Ugochukwu Amadi,CB,Saints,,UFA,7.50%,27,"$1,080,000 ",$0 
Miles Boykin,WR,Steelers,,UFA,11.30%,28,"$1,080,000 ",$0 
Chuma Edoga,RT,Cowboys,,UFA,35.40%,27,"$1,080,000 ",$0 
River Cracraft,WR,Dolphins,,UFA,16.80%,30,"$1,080,000 ",$0 
Michael Deiter,LG,Texans,,UFA,60.50%,28,"$1,080,000 ",$0 
Dean Marlowe,S,Chargers,,UFA,25.80%,32,"$1,080,000 ",$0 
Justin Hollins,EDGE,Chargers,,UFA,17.40%,28,"$1,080,000 ",$0 
Trayvon Mullen,CB,Ravens,,UFA,0.00%,27,"$1,080,000 ",$0 
Andre Smith,LB,Falcons,,UFA,9.80%,27,"$1,080,000 ",$0 
Pharaoh Brown,TE,Patriots,,UFA,38.00%,30,"$1,080,000 ",$0 
Anthony Firkser,TE,Lions,,UFA,0.20%,29,"$1,080,000 ",$0 
Arthur Maulet,CB,Ravens,,UFA,35.20%,31,"$1,080,000 ","$220,000 "
Brandon Parker,RT,Raiders,,UFA,1.30%,29,"$1,080,000 ",$0 
Royce Freeman,RB,Rams,,UFA,18.00%,28,"$1,080,000 ",$0 
Geron Christian,LT,Browns,,UFA,51.60%,28,"$1,080,000 ",$0 
Pat O'Connor,EDGE,Buccaneers,,UFA,3.70%,31,"$1,080,000 ",$0 
David Moore,WR,Buccaneers,,UFA,9.50%,29,"$1,080,000 ",$0 
Ahkello Witherspoon,CB,Rams,,UFA,93.50%,29,"$1,080,000 ",$0 
Artie Burns,CB,Seahawks,,UFA,19.40%,29,"$1,080,000 ",$0 
Sheldon Day,IDL,Vikings,,UFA,11.10%,30,"$1,080,000 ",$0 
Alex Erickson,WR,Chargers,,UFA,28.40%,32,"$1,080,000 ",$0 
Tae Davis,LB,Panthers,,UFA,0.10%,28,"$1,080,000 ",$0 
Kyle Peko,IDL,Titans,,UFA,29.70%,31,"$1,080,000 ",$0 
Byron Pringle,WR,Commanders,,UFA,16.30%,31,"$1,080,000 ",$0 
Ty Summers,LB,Saints,,UFA,0.00%,29,"$1,080,000 ",$0 
Lil'Jordan Humphrey,WR,Broncos,,UFA,39.90%,26,"$1,080,000 ",$0 
Ben Niemann,LB,Broncos,,UFA,0.00%,29,"$1,080,000 ",$0 
Tanner Hudson,TE,Bengals,,UFA,25.40%,30,"$1,080,000 ",$0 
Duke Shelley,CB,Rams,,UFA,6.70%,28,"$1,080,000 ",$0 
Trent Sieg,LS,Cowboys,,UFA,30.70%,29,"$1,080,000 ",$0 
Jakob Johnson,FB,Raiders,,UFA,17.80%,30,"$1,080,000 ",$0 
Justin McCray,LG,Panthers,,UFA,6.70%,32,"$1,080,000 ",$0 
Ty Johnson,RB,Bills,,UFA,7.80%,27,"$1,080,000 ",$0 
Kris Boyd,CB,Texans,,UFA,0.30%,28,"$1,080,000 ",$0 
Troy Reeder,LB,Rams,,UFA,16.90%,30,"$1,080,000 ",$0 
Abdullah Anderson,IDL,Commanders,,UFA,9.90%,28,"$1,080,000 ",$0 
Dalvin Cook,RB,Ravens,,UFA,18.30%,29,"$1,080,000 ",$0 
Nick Vannett,TE,Chargers,,UFA,10.80%,31,"$1,080,000 ",$0 
Brett Rypien,QB,Jets,,UFA,6.80%,28,"$1,080,000 ",$0 
Sam Eguavoen,LB,Jets,,UFA,1.20%,31,"$1,080,000 ",$0 
Cam Gill,LB,Buccaneers,,UFA,5.50%,27,"$1,065,000 ","$125,000 "
Rico Dowdle,RB,Cowboys,,UFA,20.90%,26,"$1,040,000 ","$100,000 "
Mitchell Wilcox,TE,Bengals,,UFA,21.10%,28,"$1,040,000 ","$25,000 "
Krys Barnes,LB,Cardinals,,UFA,36.80%,26,"$1,035,000 ","$25,000 "
J.C. Hassenauer,C,Giants,,UFA,0.00%,29,"$1,035,000 ","$200,000 "
Akeem Davis-Gaither,LB,Bengals,,UFA,9.00%,27,"$1,028,127 ","$817,508 "
Roderick Johnson,LT,Eagles,,UFA,0.00%,29,"$1,025,400 ","$15,400 "
Saahdiq Charles,LG,Commanders,,UFA,57.40%,25,"$1,023,592 ","$799,368 "
Joshua Kelley,RB,Chargers,,UFA,33.90%,27,"$1,018,836 ","$780,344 "
Leki Fotu,IDL,Cardinals,,UFA,23.10%,26,"$1,017,118 ","$773,472 "
D.J. Wonnum,EDGE,Vikings,,UFA,73.20%,27,"$1,011,445 ","$750,780 "
Braden Mann,P,Eagles,,UFA,25.20%,27,"$1,010,000 ",$0 
James Proche,WR,Browns,,UFA,4.80%,28,"$1,010,000 ",$0 
Jonathan Ward,RB,Titans,,UFA,1.00%,27,"$1,010,000 ",$0 
Hakeem Adeniji,LT,Vikings,,UFA,0.00%,27,"$1,010,000 ",$0 
Tyler Hall,CB,Raiders,,RFA,13.90%,26,"$1,010,000 ",$0 
Tanner Muse,S,Chargers,,UFA,0.00%,28,"$1,010,000 ",$0 
Essang Bassey,CB,Chargers,,UFA,30.90%,26,"$1,010,000 ",$0 
Grayland Arnold,S,Texans,,RFA,12.50%,27,"$1,010,000 ",$0 
Joe Gaziano,IDL,Falcons,,UFA,4.20%,28,"$1,010,000 ",$0 
Kindle Vildor,CB,Lions,,UFA,19.10%,27,"$1,010,000 ",$0 
Tyler Johnson,WR,Rams,,RFA,3.10%,26,"$1,010,000 ",$0 
Bryce Hall,CB,Jets,,UFA,12.10%,27,"$1,010,000 ",$0 
Jaylinn Hawkins,S,Chargers,,UFA,11.90%,27,"$1,010,000 ",$0 
Mykal Walker,LB,Steelers,,UFA,26.00%,27,"$1,010,000 ",$0 
Kristian Welch,LB,Packers,,UFA,0.00%,26,"$1,010,000 ",$0 
Terrell Burgess,S,Commanders,,UFA,10.30%,26,"$1,010,000 ",$0 
Tyre Phillips,LG,Giants,,UFA,50.10%,27,"$1,010,000 ",$0 
Javelin Guidry,WR,Jets,,RFA,0.00%,26,"$1,010,000 ",$0 
Bobby Price,CB,Cardinals,,UFA,0.00%,26,"$1,010,000 ",$0 
Darnay Holmes,CB,Giants,,UFA,10.90%,26,"$1,010,000 ",$0 
John Simpson,LG,Ravens,,UFA,99.40%,27,"$1,010,000 ",$0 
Sean McKeon,TE,Cowboys,,UFA,8.40%,27,"$1,010,000 ",$0 
Michael Dunn,LG,Browns,,UFA,20.00%,30,"$1,010,000 ",$0 
Kyle Phillips,EDGE,Saints,,UFA,5.10%,27,"$1,010,000 ",$0 
Johnathan Abram,S,Saints,,UFA,18.80%,28,"$1,010,000 ",$0 
Godwin Igwebuike,S,Steelers,,RFA,0.00%,30,"$1,010,000 ",$0 
Darius Harris,LB,Chiefs,,UFA,0.00%,28,"$1,010,000 ",$0 
Curtis Bolton,LB,Raiders,,UFA,1.30%,29,"$1,010,000 ",$0 
Keith Kirkwood,WR,Saints,,UFA,20.40%,31,"$1,010,000 ",$0 
Kevin Rader,TE,Titans,,UFA,13.90%,29,"$1,010,000 ",$0 
Steven Sims,WR,Texans,,RFA,0.90%,27,"$1,010,000 ",$0 
Dee Delaney,CB,Buccaneers,,RFA,39.90%,29,"$1,010,000 ",$0 
John Wolford,QB,Buccaneers,,UFA,0.00%,29,"$1,010,000 ",$0 
Sam Mustipher,C,Ravens,,UFA,17.90%,28,"$1,010,000 ",$0 
Ross Blacklock,IDL,Titans,,RFA,4.90%,26,"$1,010,000 ",$0 
Cameron Tom,C,Chargers,,UFA,0.00%,29,"$1,010,000 ",$0 
Dan Skipper,LT,Lions,,UFA,8.60%,30,"$1,010,000 ",$0 
Storm Norton,RT,Falcons,,UFA,25.10%,30,"$1,010,000 ",$0 
Calvin Munson,LB,Dolphins,,UFA,2.10%,30,"$1,010,000 ",$0 
Phillip Walker,QB,Browns,,UFA,19.60%,29,"$1,010,000 ",$0 
Charlie Heck,RT,Texans,,UFA,21.70%,28,"$1,001,426 ","$710,704 "
K'Von Wallace,S,Titans,,UFA,64.20%,27,"$1,000,278 ","$706,112 "
James Lynch,IDL,Vikings,,UFA,0.00%,25,"$996,498 ","$690,992 "
Troy Dye,LB,Vikings,,UFA,9.90%,28,"$993,393 ","$678,572 "
Colby Parkinson,TE,Seahawks,,UFA,47.40%,25,"$991,360 ","$670,440 "
Brycen Hopkins,TE,Rams,,UFA,7.60%,27,"$987,033 ","$653,132 "
Larrell Murchison,EDGE,Rams,,UFA,22.20%,27,"$952,500 ",$0 
Elijah Riley,S,Steelers,,UFA,4.40%,26,"$952,500 ",$0 
Jonathan Harris,IDL,Broncos,,RFA,46.80%,28,"$952,500 ",$0 
Logan Woodside,QB,Falcons,,UFA,0.90%,29,"$952,500 ",$0 
Blake Hance,RT,Jaguars,,RFA,13.00%,28,"$950,000 ","$10,000 "
Jack Driscoll,RT,Eagles,,UFA,15.00%,27,"$947,350 ","$494,400 "
Ben Bredeson,LG,Giants,,UFA,91.80%,26,"$947,350 ","$494,400 "
Shaquille Quarterman,LB,Jaguars,,UFA,0.70%,27,"$947,350 ","$494,400 "
Justin Skule,LT,Buccaneers,,UFA,1.70%,28,"$940,000 ",$0 
Terez Hall,LB,Patriots,,RFA,0.00%,28,"$940,000 ",$0 
Shemar Jean-Charles,CB,Saints,,RFA,0.90%,26,"$940,000 ",$0 
Khyiris Tonga,IDL,Vikings,,RFA,16.60%,28,"$940,000 ",$0 
Ihmir Smith-Marsette,WR,Panthers,,RFA,10.70%,25,"$940,000 ",$0 
Calvin Throckmorton,RG,Titans,,UFA,49.60%,28,"$940,000 ",$0 
Henry Black,S,Colts,,ERFA,0.00%,27,"$940,000 ",$0 
De'Jon Harris,LB,Commanders,,RFA,0.30%,27,"$940,000 ",$0 
Benito Jones,IDL,Lions,,RFA,51.70%,27,"$940,000 ",$0 
Christian Kuntz,LS,Steelers,,RFA,0.00%,30,"$940,000 ",$0 
Scott Daly,LS,Lions,,RFA,13.20%,30,"$940,000 ",$0 
Wyatt Davis,LG,Giants,,RFA,0.00%,25,"$940,000 ",$0 
Lawrence Cager,WR,Giants,,RFA,9.10%,27,"$940,000 ",$0 
Trey Sermon,RB,Colts,,RFA,10.30%,25,"$940,000 ",$0 
Patrick Taylor,RB,Packers,,RFA,20.60%,26,"$940,000 ",$0 
Christian Rozeboom,LB,Rams,,RFA,44.90%,27,"$940,000 ",$0 
Jabril Cox,LB,Commanders,,RFA,0.10%,26,"$940,000 ",$0 
Giovanni Ricci,FB,Panthers,,RFA,1.00%,28,"$940,000 ",$0 
Robert Rochell,CB,Packers,,RFA,0.00%,26,"$940,000 ",$0 
Blake Lynch,LB,Chargers,,RFA,0.00%,27,"$940,000 ",$0 
Chapelle Russell,LB,Steelers,,RFA,0.00%,27,"$940,000 ",$0 
Keelan Doss,WR,Chargers,,ERFA,8.50%,28,"$940,000 ",$0 
Albert Huggins,IDL,Falcons,,UFA,26.60%,27,"$940,000 ",$0 
Andrew Dowell,LB,Saints,,UFA,0.00%,28,"$940,000 ",$0 
Ethan Greenidge,LT,Falcons,,UFA,0.00%,27,"$940,000 ",$0 
Anthony Pittman,LB,Lions,,RFA,0.40%,28,"$940,000 ",$0 
Keith Ismael,C,Cardinals,,RFA,0.00%,26,"$940,000 ",$0 
Austin Walter,RB,Raiders,,RFA,0.00%,28,"$940,000 ",$0 
Jake Curhan,RT,Seahawks,,RFA,28.40%,26,"$940,000 ",$0 
Jody Fortson,TE,Chiefs,,RFA,0.00%,29,"$940,000 ",$0 
Khalil Davis,IDL,Texans,,RFA,33.70%,28,"$940,000 ",$0 
Adam Prentice,FB,Saints,,RFA,10.80%,27,"$940,000 ",$0 
Marlon Davidson,IDL,Titans,,ERFA,14.20%,26,"$940,000 ",$0 
Jacob Eason,QB,Giants,,ERFA,0.00%,27,"$940,000 ",$0 
Blake Gillikin,P,Cardinals,,UFA,18.50%,26,"$940,000 ",$0 
Jake Hanson,C,Jets,,RFA,22.30%,27,"$940,000 ",$0 
Ben Bartch,LG,49ers,,UFA,20.90%,26,"$940,000 ",$0 
Bradlee Anae,EDGE,Jets,,RFA,0.00%,26,"$917,500 ",$0 
Danny Pinter,RG,Colts,,UFA,0.00%,28,"$910,924 ","$348,696 "
Shane Lemieux,LG,Giants,,UFA,8.20%,27,"$910,535 ","$347,140 "
Kenny Yeboah,TE,Jets,,RFA,11.20%,26,"$907,500 ","$50,000 "
Maalik Hall,LB,Jets,,SFA,0.00%,25,"$900,833 ","$57,500 "
A.J. Uzodinma,CB,Chargers,,SFA,0.00%,24,"$899,000 ","$2,000 "
K.J. Osborn,WR,Vikings,,UFA,73.20%,27,"$890,693 ","$267,772 "
Pressley Harvin,P,Steelers,,SFA,29.70%,26,"$890,183 ","$80,732 "
Mike Danna,EDGE,Chiefs,,UFA,68.50%,27,"$889,665 ","$263,660 "
Justin Strnad,LB,Broncos,,UFA,0.00%,28,"$883,194 ","$237,776 "
Jonah Williams,IDL,Rams,,RFA,52.70%,29,"$882,500 ",$0 
Trenton Irwin,WR,Bengals,,UFA,39.40%,29,"$882,500 ",$0 
Ar'Darius Washington,S,Ravens,,ERFA,9.70%,25,"$882,500 ",$0 
Cam Brown,LB,Giants,,UFA,0.00%,26,"$873,341 ","$198,364 "
Donovan Peoples-Jones,WR,Lions,,UFA,41.50%,25,"$870,402 ","$186,608 "
Chase Lucas,CB,Lions,,ERFA,0.00%,27,"$870,000 ",$0 
Austin Trammell,WR,Rams,,ERFA,6.30%,26,"$870,000 ",$0 
Lynn Bowden,WR,Saints,,RFA,28.20%,27,"$870,000 ",$0 
Renell Wren,IDL,Steelers,,RFA,0.00%,29,"$870,000 ",$0 
Brandon Dillon,TE,Commanders,,ERFA,0.00%,27,"$870,000 ",$0 
Jonathan Ledbetter,IDL,Cardinals,,RFA,46.20%,27,"$870,000 ",$0 
Joe Reed,WR,Bears,,ERFA,0.00%,26,"$870,000 ",$0 
Zack Bailey,LG,Chargers,,ERFA,0.00%,29,"$870,000 ",$0 
Khalil Dorsey,CB,Lions,,RFA,7.30%,26,"$870,000 ",$0 
Derrick Gore,RB,Commanders,,RFA,2.10%,30,"$870,000 ",$0 
Isaiah Hodgins,WR,Giants,,RFA,46.30%,26,"$870,000 ",$0 
Shaun Bradley,LB,Eagles,,UFA,0.00%,27,"$866,605 ","$171,420 "
Jordan Fuller,S,Rams,,UFA,93.40%,26,"$866,427 ","$170,708 "
Quez Watkins,WR,Eagles,,UFA,26.50%,26,"$866,165 ","$169,660 "
Curtis Hodges,TE,Commanders,,SFA,0.00%,25,"$861,667 ","$125,000 "
Andrew Trainer,RT,Chargers,,SFA,0.00%,27,"$856,667 ","$10,000 "
William Kwenkeu,LB,Vikings,,SFA,0.00%,27,"$853,333 ",$0 
Markus Bailey,LB,Bengals,,UFA,2.60%,27,"$852,174 ","$113,696 "
Kamren Curl,S,Commanders,,UFA,93.30%,25,"$852,082 ","$113,328 "
Carter Coughlin,LB,Giants,,UFA,0.20%,27,"$851,286 ","$110,144 "
Eno Benjamin,RB,Saints,,UFA,0.00%,25,"$849,429 ","$102,716 "
Chris Claybrooks,CB,Jaguars,,RFA,0.00%,27,"$849,347 ","$102,388 "
James Smith-Williams,EDGE,Commanders,,UFA,35.80%,27,"$848,175 ","$97,700 "
Casey Toohill,EDGE,Commanders,,UFA,42.40%,28,"$846,758 ","$92,032 "
Tremayne Anchrum,RT,Rams,,UFA,4.60%,26,"$842,623 ","$75,492 "
Kyler McMichael,CB,Cardinals,,SFA,0.00%,24,"$837,000 ","$9,000 "
Robert Jones,RG,Dolphins,,RFA,38.10%,25,"$818,333 ","$130,000 "
Jack Stoll,TE,Eagles,,RFA,38.20%,26,"$815,833 ","$122,500 "
Feleipe Franks,QB,Falcons,,RFA,0.00%,27,"$813,333 ","$100,000 "
Amen Ogbongbemiga,LB,Chargers,,RFA,0.40%,26,"$813,333 ","$30,000 "
Caleb Johnson,LB,Jaguars,,RFA,0.00%,26,"$810,667 ","$7,000 "
Jerry Jacobs,CB,Lions,,RFA,67.90%,27,"$809,500 ","$3,500 "
David Bada,IDL,Commanders,,ERFA,0.00%,29,"$787,500 ",$0 
Raheem Layne,S,Chargers,,ERFA,6.60%,25,"$787,500 ",$0 
Julius Chestnut,RB,Titans,,ERFA,0.70%,24,"$787,500 ",$0 
P.J. Mustipher,IDL,Saints,,ERFA,3.80%,25,"$750,000 ",$0 
D.J. Scaife Jr.,RT,Texans,,ERFA,0.00%,24,"$750,000 ",$0 
Jaylon Moore,WR,Jaguars,,ERFA,0.00%,27,"$750,000 ",$0 
T.J. Smith,IDL,Vikings,,ERFA,3.90%,27,"$750,000 ",$0 
Tre Nixon,WR,Patriots,,ERFA,0.00%,26,"$750,000 ",$0 
Curtis Brooks,IDL,Commanders,,ERFA,0.00%,26,"$750,000 ",$0 
Ty Nsekhe,LT,Browns,,SFA,0.10%,39,"$438,444 ",$0 
Al-Quadin Muhammad,EDGE,Colts,,SFA,0.00%,29,"$370,800 ",$0 
Alexander Johnson,LB,Dolphins,,SFA,0.00%,33,"$370,800 ",$0 
